SEarticles,word,n,total,tf,idf,tf_idf
Southeast Article 8,in,15,680,0.022058824,0,0
Southeast Article 8,of,15,680,0.022058824,0,0
Southeast Article 1,for,14,1932,0.007246377,0,0
Southeast Article 1,from,14,1932,0.007246377,0,0
Southeast Article 1,over,14,1932,0.007246377,0.628608659,0.004555135
Southeast Article 10,is,14,890,0.015730337,0,0
Southeast Article 15,even,14,1985,0.007052897,0.628608659,0.004433512
Southeast Article 15,on,14,1985,0.007052897,0,0
Southeast Article 15,with,14,1985,0.007052897,0.223143551,0.001573808
Southeast Article 2,a,14,700,0.02,0,0
Southeast Article 3,a,14,768,0.018229167,0,0
Southeast Article 3,it,14,768,0.018229167,0,0
Southeast Article 3,that,14,768,0.018229167,0,0
Southeast Article 4,change,14,1151,0.012163336,0,0
Southeast Article 4,on,14,1151,0.012163336,0,0
Southeast Article 6,of,14,684,0.020467836,0,0
Southeast Article 7,trump,14,1582,0.008849558,1.32175584,0.011696954
Southeast Article 1,at,13,1932,0.006728778,0,0
Southeast Article 10,change,13,890,0.014606742,0,0
Southeast Article 11,red,13,748,0.017379679,1.609437912,0.027971515
Southeast Article 11,said,13,748,0.017379679,0.223143551,0.003878163
Southeast Article 13,is,13,913,0.014238773,0,0
Southeast Article 13,study,13,913,0.014238773,1.609437912,0.022916422
Southeast Article 14,hoax,13,671,0.019374069,2.708050201,0.05246595
Southeast Article 14,of,13,671,0.019374069,0,0
Southeast Article 15,as,13,1985,0.006549118,0.143100844,0.000937184
Southeast Article 15,if,13,1985,0.006549118,0.310154928,0.002031241
Southeast Article 15,most,13,1985,0.006549118,0.510825624,0.003345457
Southeast Article 3,said,13,768,0.016927083,0.223143551,0.003777169
Southeast Article 6,a,13,684,0.019005848,0,0
Southeast Article 9,climate,13,680,0.019117647,0,0
Southeast Article 1,by,12,1932,0.00621118,0,0
Southeast Article 1,has,12,1932,0.00621118,0.068992871,0.000428527
Southeast Article 1,not,12,1932,0.00621118,0.143100844,0.000888825
Southeast Article 11,in,12,748,0.016042781,0,0
Southeast Article 12,but,12,1147,0.010462075,0,0
Southeast Article 12,in,12,1147,0.010462075,0,0
