SEarticles,word,n,total,tf,idf,tf_idf
Southeast Article 7,over,4,1582,0.002528445,0.628608659,0.001589402
Southeast Article 7,policy,4,1582,0.002528445,1.32175584,0.003341987
Southeast Article 7,regalado,4,1582,0.002528445,2.708050201,0.006847156
Southeast Article 7,republican,4,1582,0.002528445,1.32175584,0.003341987
Southeast Article 7,sentinel,4,1582,0.002528445,2.014903021,0.005094571
Southeast Article 7,south,4,1582,0.002528445,1.32175584,0.003341987
Southeast Article 7,still,4,1582,0.002528445,0.916290732,0.002316791
Southeast Article 7,they,4,1582,0.002528445,0.143100844,0.000361823
Southeast Article 7,this,4,1582,0.002528445,0.068992871,0.000174445
Southeast Article 7,we,4,1582,0.002528445,0,0
Southeast Article 7,which,4,1582,0.002528445,0.405465108,0.001025196
Southeast Article 7,while,4,1582,0.002528445,0.510825624,0.001291594
Southeast Article 7,white,4,1582,0.002528445,2.014903021,0.005094571
Southeast Article 7,without,4,1582,0.002528445,1.32175584,0.003341987
Southeast Article 7,year,4,1582,0.002528445,0.405465108,0.001025196
Southeast Article 8,1850,4,680,0.005882353,2.708050201,0.015929707
Southeast Article 8,cause,4,680,0.005882353,1.32175584,0.007775034
Southeast Article 8,not,4,680,0.005882353,0.143100844,0.00084177
Southeast Article 8,one,4,680,0.005882353,0.223143551,0.001312609
Southeast Article 8,research,4,680,0.005882353,0.916290732,0.005389945
Southeast Article 8,them,4,680,0.005882353,0.762140052,0.004483177
Southeast Article 8,what,4,680,0.005882353,0.405465108,0.002385089
Southeast Article 9,biden,4,680,0.005882353,0.916290732,0.005389945
Southeast Article 9,could,4,680,0.005882353,0.405465108,0.002385089
Southeast Article 9,crisis,4,680,0.005882353,1.32175584,0.007775034
Southeast Article 9,doe's,4,680,0.005882353,2.708050201,0.015929707
Southeast Article 9,government,4,680,0.005882353,0.916290732,0.005389945
Southeast Article 9,have,4,680,0.005882353,0,0
Southeast Article 9,mission,4,680,0.005882353,2.708050201,0.015929707
Southeast Article 9,national,4,680,0.005882353,0.405465108,0.002385089
Southeast Article 9,plan,4,680,0.005882353,1.098612289,0.006462425
Southeast Article 9,plans,4,680,0.005882353,2.708050201,0.015929707
Southeast Article 9,president,4,680,0.005882353,0.916290732,0.005389945
Southeast Article 9,that,4,680,0.005882353,0,0
Southeast Article 1,7,3,1932,0.001552795,2.014903021,0.003128731
Southeast Article 1,alarm,3,1932,0.001552795,2.708050201,0.004205047
Southeast Article 1,based,3,1932,0.001552795,1.098612289,0.00170592
Southeast Article 1,before,3,1932,0.001552795,0.628608659,0.0009761
Southeast Article 1,belief,3,1932,0.001552795,1.609437912,0.002499127
Southeast Article 1,book,3,1932,0.001552795,2.708050201,0.004205047
Southeast Article 1,changing,3,1932,0.001552795,0.628608659,0.0009761
Southeast Article 1,clear,3,1932,0.001552795,0.916290732,0.001422812
Southeast Article 1,damage,3,1932,0.001552795,1.098612289,0.00170592
Southeast Article 1,damages,3,1932,0.001552795,1.32175584,0.002052416
Southeast Article 1,despite,3,1932,0.001552795,1.32175584,0.002052416
Southeast Article 1,dollar,3,1932,0.001552795,2.708050201,0.004205047
Southeast Article 1,dramatically,3,1932,0.001552795,2.708050201,0.004205047
Southeast Article 1,due,3,1932,0.001552795,1.098612289,0.00170592
Southeast Article 1,events,3,1932,0.001552795,0.916290732,0.001422812
Southeast Article 1,FALSE,3,1932,0.001552795,1.32175584,0.002052416
Southeast Article 1,go,3,1932,0.001552795,0.916290732,0.001422812
Southeast Article 1,going,3,1932,0.001552795,0.762140052,0.001183447
Southeast Article 1,however,3,1932,0.001552795,1.609437912,0.002499127
Southeast Article 1,humanity,3,1932,0.001552795,1.32175584,0.002052416
Southeast Article 1,if,3,1932,0.001552795,0.310154928,0.000481607
Southeast Article 1,intense,3,1932,0.001552795,1.32175584,0.002052416
Southeast Article 1,into,3,1932,0.001552795,0.628608659,0.0009761
Southeast Article 1,media,3,1932,0.001552795,0.510825624,0.000793207
Southeast Article 1,miles,3,1932,0.001552795,2.708050201,0.004205047
Southeast Article 1,models,3,1932,0.001552795,1.609437912,0.002499127
Southeast Article 1,negative,3,1932,0.001552795,1.609437912,0.002499127
Southeast Article 1,new,3,1932,0.001552795,0.628608659,0.0009761
Southeast Article 1,notes,3,1932,0.001552795,2.708050201,0.004205047
Southeast Article 1,now,3,1932,0.001552795,0.310154928,0.000481607
Southeast Article 1,number,3,1932,0.001552795,1.609437912,0.002499127
Southeast Article 1,population,3,1932,0.001552795,2.014903021,0.003128731
Southeast Article 1,reason,3,1932,0.001552795,1.098612289,0.00170592
Southeast Article 1,result,3,1932,0.001552795,1.32175584,0.002052416
Southeast Article 1,said,3,1932,0.001552795,0.223143551,0.000346496
Southeast Article 1,scientists,3,1932,0.001552795,0.762140052,0.001183447
Southeast Article 1,square,3,1932,0.001552795,2.708050201,0.004205047
Southeast Article 1,stay,3,1932,0.001552795,2.014903021,0.003128731
Southeast Article 1,study,3,1932,0.001552795,1.609437912,0.002499127
Southeast Article 1,substantially,3,1932,0.001552795,2.014903021,0.003128731
Southeast Article 1,take,3,1932,0.001552795,0.510825624,0.000793207
Southeast Article 1,temperatures,3,1932,0.001552795,0.628608659,0.0009761
Southeast Article 1,thus,3,1932,0.001552795,2.708050201,0.004205047
Southeast Article 1,times,3,1932,0.001552795,0.628608659,0.0009761
Southeast Article 1,today,3,1932,0.001552795,2.014903021,0.003128731
Southeast Article 1,university,3,1932,0.001552795,1.098612289,0.00170592
Southeast Article 1,were,3,1932,0.001552795,0.628608659,0.0009761
Southeast Article 1,what,3,1932,0.001552795,0.405465108,0.000629604
Southeast Article 1,world,3,1932,0.001552795,0.510825624,0.000793207
Southeast Article 1,would,3,1932,0.001552795,0.762140052,0.001183447
Southeast Article 10,action,3,890,0.003370787,0.916290732,0.00308862
Southeast Article 10,are,3,890,0.003370787,0.143100844,0.000482362
Southeast Article 10,can,3,890,0.003370787,0.143100844,0.000482362
Southeast Article 10,congress,3,890,0.003370787,2.014903021,0.006791808
Southeast Article 10,how,3,890,0.003370787,0.405465108,0.001366736
Southeast Article 10,it's,3,890,0.003370787,0.223143551,0.000752169
Southeast Article 10,life,3,890,0.003370787,1.32175584,0.004455357
Southeast Article 10,not,3,890,0.003370787,0.143100844,0.000482362
Southeast Article 10,only,3,890,0.003370787,0.510825624,0.001721884
Southeast Article 10,season,3,890,0.003370787,1.609437912,0.005425072
Southeast Article 10,their,3,890,0.003370787,0.143100844,0.000482362
Southeast Article 10,this,3,890,0.003370787,0.068992871,0.00023256
Southeast Article 10,u.s,3,890,0.003370787,0.762140052,0.002569011
Southeast Article 10,up,3,890,0.003370787,0.310154928,0.001045466
Southeast Article 11,affect,3,748,0.004010695,2.708050201,0.010861164
Southeast Article 11,can,3,748,0.004010695,0.143100844,0.000573934
Southeast Article 11,coast,3,748,0.004010695,2.708050201,0.010861164
Southeast Article 11,conditions,3,748,0.004010695,1.609437912,0.006454965
Southeast Article 11,for,3,748,0.004010695,0,0
Southeast Article 11,from,3,748,0.004010695,0,0
Southeast Article 11,has,3,748,0.004010695,0.068992871,0.000276709
Southeast Article 11,he,3,748,0.004010695,0.310154928,0.001243937
Southeast Article 11,into,3,748,0.004010695,0.628608659,0.002521158
Southeast Article 11,it,3,748,0.004010695,0,0
Southeast Article 11,karenia,3,748,0.004010695,2.708050201,0.010861164
Southeast Article 11,less,3,748,0.004010695,1.098612289,0.004406199
Southeast Article 11,one,3,748,0.004010695,0.223143551,0.000894961
Southeast Article 11,only,3,748,0.004010695,0.510825624,0.002048766
Southeast Article 11,out,3,748,0.004010695,0.510825624,0.002048766
Southeast Article 11,problem,3,748,0.004010695,0.762140052,0.003056711
Southeast Article 11,so,3,748,0.004010695,0.223143551,0.000894961
Southeast Article 11,stumpf,3,748,0.004010695,2.708050201,0.010861164
Southeast Article 11,they,3,748,0.004010695,0.143100844,0.000573934
Southeast Article 11,this,3,748,0.004010695,0.068992871,0.000276709
Southeast Article 11,tides,3,748,0.004010695,2.014903021,0.008081162
Southeast Article 11,water,3,748,0.004010695,0.916290732,0.003674963
Southeast Article 11,whether,3,748,0.004010695,1.32175584,0.00530116
Southeast Article 11,with,3,748,0.004010695,0.223143551,0.000894961
Southeast Article 12,america's,3,1147,0.002615519,2.708050201,0.007082956
Southeast Article 12,american,3,1147,0.002615519,1.609437912,0.004209515
Southeast Article 12,as,3,1147,0.002615519,0.143100844,0.000374283
Southeast Article 12,asking,3,1147,0.002615519,2.708050201,0.007082956
Southeast Article 12,both,3,1147,0.002615519,1.32175584,0.003457077
Southeast Article 12,change,3,1147,0.002615519,0,0
Southeast Article 12,did,3,1147,0.002615519,1.098612289,0.002873441
Southeast Article 12,have,3,1147,0.002615519,0,0
Southeast Article 12,i,3,1147,0.002615519,0.510825624,0.001336074
Southeast Article 12,isn't,3,1147,0.002615519,1.32175584,0.003457077
Southeast Article 12,its,3,1147,0.002615519,0.310154928,0.000811216
Southeast Article 12,keep,3,1147,0.002615519,1.32175584,0.003457077
Southeast Article 12,laws,3,1147,0.002615519,2.708050201,0.007082956
Southeast Article 12,least,3,1147,0.002615519,0.628608659,0.001644138
Southeast Article 12,like,3,1147,0.002615519,0.510825624,0.001336074
Southeast Article 12,many,3,1147,0.002615519,0.510825624,0.001336074
Southeast Article 12,maybe,3,1147,0.002615519,2.708050201,0.007082956
Southeast Article 12,members,3,1147,0.002615519,2.708050201,0.007082956
Southeast Article 12,might,3,1147,0.002615519,0.916290732,0.002396576
Southeast Article 12,national,3,1147,0.002615519,0.405465108,0.001060502
Southeast Article 12,often,3,1147,0.002615519,1.32175584,0.003457077
Southeast Article 12,one,3,1147,0.002615519,0.223143551,0.000583636
Southeast Article 12,only,3,1147,0.002615519,0.510825624,0.001336074
Southeast Article 12,open,3,1147,0.002615519,2.014903021,0.005270017
Southeast Article 12,or,3,1147,0.002615519,0.143100844,0.000374283
Southeast Article 12,out,3,1147,0.002615519,0.510825624,0.001336074
Southeast Article 12,private,3,1147,0.002615519,2.708050201,0.007082956
Southeast Article 12,racism,3,1147,0.002615519,2.708050201,0.007082956
Southeast Article 12,really,3,1147,0.002615519,1.098612289,0.002873441
Southeast Article 12,send,3,1147,0.002615519,2.014903021,0.005270017
Southeast Article 12,then,3,1147,0.002615519,0.762140052,0.001993392
Southeast Article 12,through,3,1147,0.002615519,0.916290732,0.002396576
Southeast Article 12,votes,3,1147,0.002615519,2.708050201,0.007082956
Southeast Article 12,want,3,1147,0.002615519,1.609437912,0.004209515
Southeast Article 13,added,3,913,0.003285871,1.609437912,0.005288405
Southeast Article 13,as,3,913,0.003285871,0.143100844,0.000470211
Southeast Article 13,change's,3,913,0.003285871,2.014903021,0.006620711
Southeast Article 13,co,3,913,0.003285871,2.014903021,0.006620711
Southeast Article 13,could,3,913,0.003285871,0.405465108,0.001332306
Southeast Article 13,death,3,913,0.003285871,1.098612289,0.003609898
Southeast Article 13,drought,3,913,0.003285871,2.014903021,0.006620711
Southeast Article 13,event,3,913,0.003285871,1.609437912,0.005288405
Southeast Article 13,extreme,3,913,0.003285871,1.32175584,0.004343119
Southeast Article 13,get,3,913,0.003285871,1.32175584,0.004343119
Southeast Article 13,happened,3,913,0.003285871,2.708050201,0.008898303
Southeast Article 13,have,3,913,0.003285871,0,0
Southeast Article 13,human,3,913,0.003285871,0.916290732,0.003010813
Southeast Article 13,it,3,913,0.003285871,0,0
Southeast Article 13,it's,3,913,0.003285871,0.223143551,0.000733221
Southeast Article 13,its,3,913,0.003285871,0.310154928,0.001019129
Southeast Article 13,likely,3,913,0.003285871,0.916290732,0.003010813
Southeast Article 13,made,3,913,0.003285871,0.310154928,0.001019129
Southeast Article 13,many,3,913,0.003285871,0.510825624,0.001678507
Southeast Article 13,more,3,913,0.003285871,0.143100844,0.000470211
Southeast Article 13,much,3,913,0.003285871,0.510825624,0.001678507
Southeast Article 13,northwest,3,913,0.003285871,2.708050201,0.008898303
Southeast Article 13,once,3,913,0.003285871,2.014903021,0.006620711
Southeast Article 13,role,3,913,0.003285871,1.609437912,0.005288405
Southeast Article 13,simulations,3,913,0.003285871,2.708050201,0.008898303
Southeast Article 13,some,3,913,0.003285871,0.405465108,0.001332306
Southeast Article 13,state,3,913,0.003285871,0.510825624,0.001678507
Southeast Article 13,used,3,913,0.003285871,0.762140052,0.002504294
Southeast Article 13,wasn't,3,913,0.003285871,2.014903021,0.006620711
Southeast Article 13,who,3,913,0.003285871,0.405465108,0.001332306
Southeast Article 13,without,3,913,0.003285871,1.32175584,0.004343119
Southeast Article 13,yet,3,913,0.003285871,0.762140052,0.002504294
Southeast Article 14,18,3,671,0.004470939,2.014903021,0.009008508
Southeast Article 14,2016,3,671,0.004470939,1.609437912,0.007195699
Southeast Article 14,about,3,671,0.004470939,0.310154928,0.001386684
Southeast Article 14,as,3,671,0.004470939,0.143100844,0.000639795
Southeast Article 14,but,3,671,0.004470939,0,0
Southeast Article 14,claim,3,671,0.004470939,0.916290732,0.00409668
Southeast Article 14,democratic,3,671,0.004470939,2.708050201,0.012107527
Southeast Article 14,his,3,671,0.004470939,0.628608659,0.002810471
Southeast Article 14,money,3,671,0.004470939,2.014903021,0.009008508
Southeast Article 14,not,3,671,0.004470939,0.143100844,0.000639795
Southeast Article 14,our,3,671,0.004470939,0.223143551,0.000997661
Southeast Article 14,recently,3,671,0.004470939,0.916290732,0.00409668
Southeast Article 14,so,3,671,0.004470939,0.223143551,0.000997661
Southeast Article 14,thinks,3,671,0.004470939,2.708050201,0.012107527
Southeast Article 14,we,3,671,0.004470939,0,0
Southeast Article 15,2100,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,adapt,3,1985,0.001511335,1.609437912,0.0024324
Southeast Article 15,africa,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,al,3,1985,0.001511335,2.014903021,0.003045193
Southeast Article 15,an,3,1985,0.001511335,0.143100844,0.000216273
Southeast Article 15,better,3,1985,0.001511335,0.762140052,0.001151849
Southeast Article 15,billions,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,can,3,1985,0.001511335,0.143100844,0.000216273
Southeast Article 15,causes,3,1985,0.001511335,0.762140052,0.001151849
Southeast Article 15,children,3,1985,0.001511335,1.609437912,0.0024324
Southeast Article 15,et,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,expectancy,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,following,3,1985,0.001511335,1.609437912,0.0024324
Southeast Article 15,general,3,1985,0.001511335,2.014903021,0.003045193
Southeast Article 15,global,3,1985,0.001511335,0.143100844,0.000216273
Southeast Article 15,great,3,1985,0.001511335,1.609437912,0.0024324
Southeast Article 15,how,3,1985,0.001511335,0.405465108,0.000612794
Southeast Article 15,humanity,3,1985,0.001511335,1.32175584,0.001997616
Southeast Article 15,including,3,1985,0.001511335,0.510825624,0.000772029
Southeast Article 15,it's,3,1985,0.001511335,0.223143551,0.000337245
Southeast Article 15,james,3,1985,0.001511335,2.014903021,0.003045193
Southeast Article 15,justify,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,least,3,1985,0.001511335,0.628608659,0.000950038
Southeast Article 15,let,3,1985,0.001511335,2.014903021,0.003045193
Southeast Article 15,like,3,1985,0.001511335,0.510825624,0.000772029
Southeast Article 15,literature,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,made,3,1985,0.001511335,0.310154928,0.000468748
Southeast Article 15,mean,3,1985,0.001511335,1.32175584,0.001997616
Southeast Article 15,measured,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,na‹ve,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,now,3,1985,0.001511335,0.310154928,0.000468748
Southeast Article 15,number,3,1985,0.001511335,1.609437912,0.0024324
Southeast Article 15,our,3,1985,0.001511335,0.223143551,0.000337245
Southeast Article 15,panic,3,1985,0.001511335,2.014903021,0.003045193
Southeast Article 15,particularly,3,1985,0.001511335,1.609437912,0.0024324
Southeast Article 15,probably,3,1985,0.001511335,1.609437912,0.0024324
Southeast Article 15,projected,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,rates,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,rely,3,1985,0.001511335,2.014903021,0.003045193
Southeast Article 15,report,3,1985,0.001511335,1.098612289,0.001660371
Southeast Article 15,rhetoric,3,1985,0.001511335,2.708050201,0.004092771
Southeast Article 15,scenarios,3,1985,0.001511335,1.609437912,0.0024324
Southeast Article 15,several,3,1985,0.001511335,1.32175584,0.001997616
Southeast Article 15,they,3,1985,0.001511335,0.143100844,0.000216273
Southeast Article 15,un,3,1985,0.001511335,2.014903021,0.003045193
Southeast Article 15,was,3,1985,0.001511335,0.143100844,0.000216273
Southeast Article 15,were,3,1985,0.001511335,0.628608659,0.000950038
Southeast Article 15,what,3,1985,0.001511335,0.405465108,0.000612794
Southeast Article 15,who,3,1985,0.001511335,0.405465108,0.000612794
Southeast Article 15,you,3,1985,0.001511335,0.510825624,0.000772029
Southeast Article 2,after,3,700,0.004285714,0.628608659,0.002694037
Southeast Article 2,at,3,700,0.004285714,0,0
Southeast Article 2,back,3,700,0.004285714,1.32175584,0.005664668
Southeast Article 2,by,3,700,0.004285714,0,0
Southeast Article 2,country,3,700,0.004285714,0.916290732,0.00392696
Southeast Article 2,covid,3,700,0.004285714,1.32175584,0.005664668
Southeast Article 2,critical,3,700,0.004285714,1.609437912,0.006897591
Southeast Article 2,information,3,700,0.004285714,0.762140052,0.003266315
Southeast Article 2,insurrection,3,700,0.004285714,2.708050201,0.011605929
Southeast Article 2,more,3,700,0.004285714,0.143100844,0.000613289
Southeast Article 2,report,3,700,0.004285714,1.098612289,0.004708338
Southeast Article 2,saw,3,700,0.004285714,2.014903021,0.008635299
Southeast Article 2,social,3,700,0.004285714,1.098612289,0.004708338
Southeast Article 2,such,3,700,0.004285714,0.762140052,0.003266315
Southeast Article 2,their,3,700,0.004285714,0.143100844,0.000613289
Southeast Article 2,these,3,700,0.004285714,0.628608659,0.002694037
Southeast Article 2,threat,3,700,0.004285714,0.916290732,0.00392696
Southeast Article 2,united,3,700,0.004285714,1.098612289,0.004708338
Southeast Article 3,can,3,768,0.00390625,0.143100844,0.000558988
Southeast Article 3,challenging,3,768,0.00390625,2.708050201,0.010578321
Southeast Article 3,conference,3,768,0.00390625,2.708050201,0.010578321
Southeast Article 3,glasgow,3,768,0.00390625,2.708050201,0.010578321
Southeast Article 3,good,3,768,0.00390625,1.32175584,0.005163109
Southeast Article 3,home,3,768,0.00390625,1.32175584,0.005163109
Southeast Article 3,if,3,768,0.00390625,0.310154928,0.001211543
Southeast Article 3,it's,3,768,0.00390625,0.223143551,0.000871654
Southeast Article 3,many,3,768,0.00390625,0.510825624,0.001995413
Southeast Article 3,movement,3,768,0.00390625,2.014903021,0.007870715
Southeast Article 3,now,3,768,0.00390625,0.310154928,0.001211543
Southeast Article 3,planet,3,768,0.00390625,0.916290732,0.003579261
Southeast Article 3,was,3,768,0.00390625,0.143100844,0.000558988
Southeast Article 3,world,3,768,0.00390625,0.510825624,0.001995413
Southeast Article 4,about,3,1151,0.002606429,0.310154928,0.000808397
Southeast Article 4,attributing,3,1151,0.002606429,2.014903021,0.005251702
Southeast Article 4,community,3,1151,0.002606429,2.014903021,0.005251702
Southeast Article 4,effect,3,1151,0.002606429,1.098612289,0.002863455
Southeast Article 4,energy,3,1151,0.002606429,0.762140052,0.001986464
Southeast Article 4,great,3,1151,0.002606429,1.609437912,0.004194886
Southeast Article 4,mayors,3,1151,0.002606429,2.708050201,0.007058341
Southeast Article 4,need,3,1151,0.002606429,0.762140052,0.001986464
Southeast Article 4,only,3,1151,0.002606429,0.510825624,0.001331431
Southeast Article 4,or,3,1151,0.002606429,0.143100844,0.000372982
Southeast Article 4,since,3,1151,0.002606429,0.916290732,0.002388247
Southeast Article 4,so,3,1151,0.002606429,0.223143551,0.000581608
Southeast Article 4,state,3,1151,0.002606429,0.510825624,0.001331431
Southeast Article 4,system,3,1151,0.002606429,2.014903021,0.005251702
Southeast Article 4,trend,3,1151,0.002606429,1.609437912,0.004194886
Southeast Article 4,up,3,1151,0.002606429,0.310154928,0.000808397
Southeast Article 5,an,3,885,0.003389831,0.143100844,0.000485088
Southeast Article 5,but,3,885,0.003389831,0,0
Southeast Article 5,california,3,885,0.003389831,2.708050201,0.009179831
Southeast Article 5,changing,3,885,0.003389831,0.628608659,0.002130877
Southeast Article 5,committee,3,885,0.003389831,2.708050201,0.009179831
Southeast Article 5,crisis,3,885,0.003389831,1.32175584,0.004480528
Southeast Article 5,energy,3,885,0.003389831,0.762140052,0.002583526
Southeast Article 5,facebook,3,885,0.003389831,2.014903021,0.00683018
Southeast Article 5,impacts,3,885,0.003389831,1.098612289,0.003724109
Southeast Article 5,including,3,885,0.003389831,0.510825624,0.001731612
Southeast Article 5,it's,3,885,0.003389831,0.223143551,0.000756419
Southeast Article 5,millions,3,885,0.003389831,1.32175584,0.004480528
Southeast Article 5,most,3,885,0.003389831,0.510825624,0.001731612
Southeast Article 5,now,3,885,0.003389831,0.310154928,0.001051373
Southeast Article 5,out,3,885,0.003389831,0.510825624,0.001731612
Southeast Article 5,public,3,885,0.003389831,0.916290732,0.00310607
Southeast Article 5,recent,3,885,0.003389831,1.098612289,0.003724109
Southeast Article 5,rep,3,885,0.003389831,1.609437912,0.005455722
Southeast Article 5,scientists,3,885,0.003389831,0.762140052,0.002583526
Southeast Article 5,see,3,885,0.003389831,0.628608659,0.002130877
Southeast Article 5,she,3,885,0.003389831,0.762140052,0.002583526
Southeast Article 5,state,3,885,0.003389831,0.510825624,0.001731612
Southeast Article 5,they,3,885,0.003389831,0.143100844,0.000485088
Southeast Article 5,wildfires,3,885,0.003389831,1.609437912,0.005455722
Southeast Article 6,also,3,684,0.004385965,0.310154928,0.001360329
Southeast Article 6,at,3,684,0.004385965,0,0
Southeast Article 6,by,3,684,0.004385965,0,0
Southeast Article 6,components,3,684,0.004385965,2.708050201,0.011877413
Southeast Article 6,economy,3,684,0.004385965,1.32175584,0.005797175
Southeast Article 6,encourage,3,684,0.004385965,2.708050201,0.011877413
Southeast Article 6,floridians,3,684,0.004385965,2.014903021,0.008837294
Southeast Article 6,have,3,684,0.004385965,0,0
Southeast Article 6,into,3,684,0.004385965,0.628608659,0.002757056
Southeast Article 6,rising,3,684,0.004385965,1.098612289,0.004818475
Southeast Article 6,sea,3,684,0.004385965,0.916290732,0.004018819
Southeast Article 6,session,3,684,0.004385965,2.708050201,0.011877413
Southeast Article 6,sprowls,3,684,0.004385965,2.708050201,0.011877413
Southeast Article 6,systems,3,684,0.004385965,1.32175584,0.005797175
Southeast Article 6,year,3,684,0.004385965,0.405465108,0.001778356
Southeast Article 7,address,3,1582,0.001896334,1.609437912,0.003052031
Southeast Article 7,ally,3,1582,0.001896334,2.708050201,0.005135367
Southeast Article 7,also,3,1582,0.001896334,0.310154928,0.000588157
Southeast Article 7,bay,3,1582,0.001896334,1.32175584,0.00250649
Southeast Article 7,beach,3,1582,0.001896334,2.014903021,0.003820929
Southeast Article 7,being,3,1582,0.001896334,0.916290732,0.001737593
Southeast Article 7,bond,3,1582,0.001896334,2.014903021,0.003820929
Southeast Article 7,both,3,1582,0.001896334,1.32175584,0.00250649
Southeast Article 7,can,3,1582,0.001896334,0.143100844,0.000271367
Southeast Article 7,communities,3,1582,0.001896334,1.32175584,0.00250649
Southeast Article 7,continue,3,1582,0.001896334,1.32175584,0.00250649
Southeast Article 7,conversation,3,1582,0.001896334,2.014903021,0.003820929
Southeast Article 7,deal,3,1582,0.001896334,2.014903021,0.003820929
Southeast Article 7,doesn't,3,1582,0.001896334,0.628608659,0.001192052
Southeast Article 7,down,3,1582,0.001896334,0.762140052,0.001445272
Southeast Article 7,environment,3,1582,0.001896334,0.762140052,0.001445272
Southeast Article 7,first,3,1582,0.001896334,0.916290732,0.001737593
Southeast Article 7,flooding,3,1582,0.001896334,1.609437912,0.003052031
Southeast Article 7,includes,3,1582,0.001896334,2.014903021,0.003820929
Southeast Article 7,issue,3,1582,0.001896334,0.916290732,0.001737593
Southeast Article 7,national,3,1582,0.001896334,0.405465108,0.000768897
Southeast Article 7,network,3,1582,0.001896334,1.609437912,0.003052031
Southeast Article 7,new,3,1582,0.001896334,0.628608659,0.001192052
Southeast Article 7,november,3,1582,0.001896334,2.014903021,0.003820929
Southeast Article 7,now,3,1582,0.001896334,0.310154928,0.000588157
Southeast Article 7,officials,3,1582,0.001896334,1.098612289,0.002083336
Southeast Article 7,one,3,1582,0.001896334,0.223143551,0.000423155
Southeast Article 7,other,3,1582,0.001896334,0.628608659,0.001192052
Southeast Article 7,parts,3,1582,0.001896334,2.014903021,0.003820929
Southeast Article 7,percent,3,1582,0.001896334,1.609437912,0.003052031
Southeast Article 7,problems,3,1582,0.001896334,1.609437912,0.003052031
Southeast Article 7,produced,3,1582,0.001896334,1.32175584,0.00250649
Southeast Article 7,proved,3,1582,0.001896334,2.708050201,0.005135367
Southeast Article 7,public,3,1582,0.001896334,0.916290732,0.001737593
Southeast Article 7,question,3,1582,0.001896334,1.609437912,0.003052031
Southeast Article 7,race,3,1582,0.001896334,2.014903021,0.003820929
Southeast Article 7,reporting,3,1582,0.001896334,2.014903021,0.003820929
Southeast Article 7,republicans,3,1582,0.001896334,2.708050201,0.005135367
Southeast Article 7,science,3,1582,0.001896334,0.510825624,0.000968696
Southeast Article 7,sea,3,1582,0.001896334,0.916290732,0.001737593
Southeast Article 7,solutions,3,1582,0.001896334,1.609437912,0.003052031
Southeast Article 7,some,3,1582,0.001896334,0.405465108,0.000768897
Southeast Article 7,states,3,1582,0.001896334,0.916290732,0.001737593
Southeast Article 7,support,3,1582,0.001896334,1.098612289,0.002083336
Southeast Article 7,tampa,3,1582,0.001896334,1.32175584,0.00250649
Southeast Article 7,united,3,1582,0.001896334,1.098612289,0.002083336
Southeast Article 7,warming,3,1582,0.001896334,0.223143551,0.000423155
Southeast Article 7,who,3,1582,0.001896334,0.405465108,0.000768897
Southeast Article 7,will,3,1582,0.001896334,0.310154928,0.000588157
Southeast Article 7,you,3,1582,0.001896334,0.510825624,0.000968696
Southeast Article 8,atmospheric,3,680,0.004411765,1.609437912,0.007100461
Southeast Article 8,be,3,680,0.004411765,0,0
Southeast Article 8,due,3,680,0.004411765,1.098612289,0.004846819
Southeast Article 8,facebook,3,680,0.004411765,2.014903021,0.008889278
Southeast Article 8,fact,3,680,0.004411765,1.609437912,0.007100461
Southeast Article 8,future,3,680,0.004411765,1.098612289,0.004846819
Southeast Article 8,had,3,680,0.004411765,0.762140052,0.003362383
Southeast Article 8,have,3,680,0.004411765,0,0
Southeast Article 8,make,3,680,0.004411765,0.223143551,0.000984457
Southeast Article 8,number,3,680,0.004411765,1.609437912,0.007100461
Southeast Article 8,our,3,680,0.004411765,0.223143551,0.000984457
Southeast Article 8,researchers,3,680,0.004411765,1.32175584,0.005831276
Southeast Article 8,say,3,680,0.004411765,0.762140052,0.003362383
Southeast Article 8,science,3,680,0.004411765,0.510825624,0.002253642
Southeast Article 8,their,3,680,0.004411765,0.143100844,0.000631327
Southeast Article 8,there,3,680,0.004411765,0.510825624,0.002253642
Southeast Article 8,university,3,680,0.004411765,1.098612289,0.004846819
Southeast Article 9,adapt,3,680,0.004411765,1.609437912,0.007100461
Southeast Article 9,an,3,680,0.004411765,0.143100844,0.000631327
Southeast Article 9,approach,3,680,0.004411765,1.609437912,0.007100461
Southeast Article 9,as,3,680,0.004411765,0.143100844,0.000631327
Southeast Article 9,changing,3,680,0.004411765,0.628608659,0.002773273
Southeast Article 9,department,3,680,0.004411765,1.32175584,0.005831276
Southeast Article 9,environment,3,680,0.004411765,0.762140052,0.003362383
