NE_articles,word,n,total,tf,idf,tf_idf
Northeast Article 11,islands,5,1270,0.003937008,2.014903021,0.007932689
Northeast Article 11,its,5,1270,0.003937008,0.310154928,0.001221082
Northeast Article 11,maldives,5,1270,0.003937008,2.014903021,0.007932689
Northeast Article 11,president,5,1270,0.003937008,0.916290732,0.003607444
Northeast Article 11,said,5,1270,0.003937008,0.310154928,0.001221082
Northeast Article 11,these,5,1270,0.003937008,0.405465108,0.001596319
Northeast Article 11,we,5,1270,0.003937008,0.143100844,0.000563389
Northeast Article 12,a.m.a,5,2957,0.001690903,2.708050201,0.00457905
Northeast Article 12,about,5,2957,0.001690903,0.310154928,0.000524442
Northeast Article 12,any,5,2957,0.001690903,0.916290732,0.001549359
Northeast Article 12,doesn't,5,2957,0.001690903,1.609437912,0.002721403
Northeast Article 12,fund,5,2957,0.001690903,1.32175584,0.002234961
Northeast Article 12,japan,5,2957,0.001690903,2.014903021,0.003407005
Northeast Article 12,like,5,2957,0.001690903,0.405465108,0.000685602
Northeast Article 12,may,5,2957,0.001690903,0.916290732,0.001549359
Northeast Article 12,nations,5,2957,0.001690903,0.628608659,0.001062916
Northeast Article 12,other,5,2957,0.001690903,0.310154928,0.000524442
Northeast Article 12,over,5,2957,0.001690903,0.310154928,0.000524442
Northeast Article 12,prime,5,2957,0.001690903,1.32175584,0.002234961
Northeast Article 12,pulling,5,2957,0.001690903,2.708050201,0.00457905
Northeast Article 12,than,5,2957,0.001690903,0.405465108,0.000685602
Northeast Article 12,their,5,2957,0.001690903,0.405465108,0.000685602
Northeast Article 12,this,5,2957,0.001690903,0.143100844,0.00024197
Northeast Article 12,union,5,2957,0.001690903,1.098612289,0.001857647
Northeast Article 12,withdrawal,5,2957,0.001690903,2.708050201,0.00457905
Northeast Article 13,election,5,1826,0.002738226,2.708050201,0.007415252
Northeast Article 13,estimates,5,1826,0.002738226,2.014903021,0.005517259
Northeast Article 13,global,5,1826,0.002738226,0.310154928,0.000849274
Northeast Article 13,its,5,1826,0.002738226,0.310154928,0.000849274
Northeast Article 13,obama,5,1826,0.002738226,1.609437912,0.004407004
Northeast Article 13,one,5,1826,0.002738226,0.405465108,0.001110255
Northeast Article 13,policies,5,1826,0.002738226,1.609437912,0.004407004
Northeast Article 13,should,5,1826,0.002738226,1.32175584,0.003619266
Northeast Article 13,their,5,1826,0.002738226,0.405465108,0.001110255
Northeast Article 13,them,5,1826,0.002738226,0.762140052,0.002086911
Northeast Article 13,those,5,1826,0.002738226,0.405465108,0.001110255
Northeast Article 14,housing,5,639,0.007824726,2.708050201,0.021189751
Northeast Article 14,on,5,639,0.007824726,0,0
Northeast Article 15,emissions,5,936,0.00534188,0.223143551,0.001192006
Northeast Article 15,might,5,936,0.00534188,0.916290732,0.004894715
Northeast Article 15,people,5,936,0.00534188,0.762140052,0.004071261
Northeast Article 15,their,5,936,0.00534188,0.405465108,0.002165946
Northeast Article 15,united,5,936,0.00534188,0.405465108,0.002165946
Northeast Article 15,what,5,936,0.00534188,0.628608659,0.003357952
Northeast Article 2,at,5,1015,0.004926108,0.143100844,0.00070493
Northeast Article 2,can,5,1015,0.004926108,0.223143551,0.001099229
Northeast Article 2,from,5,1015,0.004926108,0.068992871,0.000339866
Northeast Article 2,more,5,1015,0.004926108,0.310154928,0.001527857
Northeast Article 2,our,5,1015,0.004926108,0.223143551,0.001099229
Northeast Article 2,storm,5,1015,0.004926108,1.609437912,0.007928266
