"NE_articles","word","n","total","tf","idf","tf_idf"
"Northeast Article 3","they",19,3434,0.00553290623179965,0.22314355131421,0.0012346323456523
"Northeast Article 5","and",19,1056,0.0179924242424242,0,0
"Northeast Article 8","a",19,1018,0.018664047151277,0,0
"Northeast Article 8","said",19,1018,0.018664047151277,0.310154928303839,0.0057887462060638
"Northeast Article 1","and",18,700,0.0257142857142857,0,0
"Northeast Article 1","in",18,700,0.0257142857142857,0,0
"Northeast Article 12","agreement",18,2957,0.00608725059181603,1.32175583998232,0.00804585901916867
"Northeast Article 3","told",18,3434,0.0052417006406523,1.09861228866811,0.00575859673734012
"Northeast Article 5","in",18,1056,0.0170454545454545,0,0
"Northeast Article 7","in",18,1230,0.0146341463414634,0,0
"Northeast Article 7","is",18,1230,0.0146341463414634,0,0
"Northeast Article 1","of",17,700,0.0242857142857143,0,0
"Northeast Article 12","out",17,2957,0.00574907000338181,0.310154928303839,0.00178310239471264
"Northeast Article 14","of",17,966,0.0175983436853002,0,0
"Northeast Article 15","a",17,936,0.0181623931623932,0,0
"Northeast Article 2","that",17,1015,0.0167487684729064,0,0
"Northeast Article 3","as",17,3434,0.00495049504950495,0.143100843640673,0.000708420018023135
"Northeast Article 3","by",17,3434,0.00495049504950495,0,0
"Northeast Article 3","had",17,3434,0.00495049504950495,0.916290731874155,0.00453609273205027
"Northeast Article 3","i",17,3434,0.00495049504950495,0.916290731874155,0.00453609273205027
"Northeast Article 6","the",17,421,0.0403800475059382,0,0
"Northeast Article 8","in",17,1018,0.0166994106090373,0,0
"Northeast Article 11","climate",16,1270,0.0125984251968504,0,0
"Northeast Article 11","is",16,1270,0.0125984251968504,0,0
"Northeast Article 12","be",16,2957,0.00541088941494758,0.0689928714869514,0.000373312798035584
"Northeast Article 12","with",16,2957,0.00541088941494758,0,0
"Northeast Article 13","is",16,1929,0.00829445308449974,0,0
"Northeast Article 14","78",16,966,0.0165631469979296,2.01490302054226,0.0333731349158139
"Northeast Article 3","damage",16,3434,0.0046592894583576,0.916290731874155,0.00426926374781202
"Northeast Article 4","the",16,283,0.0565371024734982,0,0
"Northeast Article 5","that",16,1056,0.0151515151515152,0,0
"Northeast Article 11","change",15,1270,0.0118110236220472,0,0
"Northeast Article 11","in",15,1270,0.0118110236220472,0,0
"Northeast Article 11","island",15,1270,0.0118110236220472,1.6094379124341,0.0190091092019776
"Northeast Article 12","global",15,2957,0.00507270882651336,0.310154928303839,0.0015733256423935
"Northeast Article 12","has",15,2957,0.00507270882651336,0.143100843640673,0.000725908912617551
"Northeast Article 13","be",15,1929,0.00777604976671851,0.0689928714869514,0.000536492002231349
"Northeast Article 13","but",15,1929,0.00777604976671851,0.22314355131421,0.0017351753601416
"Northeast Article 13","for",15,1929,0.00777604976671851,0.0689928714869514,0.000536492002231349
"Northeast Article 14","for",15,966,0.015527950310559,0.0689928714869514,0.00107131788023216
"Northeast Article 15","that",15,936,0.016025641025641,0,0
"Northeast Article 3","at",15,3434,0.00436808386721025,0.143100843640673,0.000625076486491001
"Northeast Article 3","countries",15,3434,0.00436808386721025,0.762140052046897,0.00332909166590083
"Northeast Article 3","were",15,3434,0.00436808386721025,0.510825623765991,0.00223132916612984
"Northeast Article 5","a",15,1056,0.0142045454545455,0,0
"Northeast Article 5","energy",15,1056,0.0142045454545455,1.32175583998232,0.0187749409088398
"Northeast Article 6","climate",15,421,0.0356294536817102,0,0
"Northeast Article 7","are",15,1230,0.0121951219512195,0.143100843640673,0.00174513223952041
"Northeast Article 7","on",15,1230,0.0121951219512195,0,0
"Northeast Article 7","that",15,1230,0.0121951219512195,0,0
"Northeast Article 8","that",15,1018,0.0147347740667976,0,0
"Northeast Article 9","to",15,369,0.040650406504065,0,0
"Northeast Article 1","said",14,700,0.02,0.310154928303839,0.00620309856607679
"Northeast Article 11","for",14,1270,0.0110236220472441,0.0689928714869514,0.000760551339226236
"Northeast Article 11","states",14,1270,0.0110236220472441,0.310154928303839,0.00341903070571162
"Northeast Article 12","as",14,2957,0.00473452823807913,0.143100843640673,0.000677514985109714
"Northeast Article 12","friday",14,2957,0.00473452823807913,2.01490302054226,0.0095396152477483
"Northeast Article 12","was",14,2957,0.00473452823807913,0.405465108108164,0.00191968600389391
"Northeast Article 13","by",14,1929,0.00725764644893727,0,0
"Northeast Article 14","government",14,966,0.0144927536231884,0.762140052046897,0.0110455080006797
"Northeast Article 15","how",14,936,0.014957264957265,0.510825623765991,0.00764055420162807
"Northeast Article 15","in",14,936,0.014957264957265,0,0
"Northeast Article 15","is",14,936,0.014957264957265,0,0
"Northeast Article 2","change",14,1015,0.0137931034482759,0,0
"Northeast Article 3","are",14,3434,0.0040768782760629,0.143100843640673,0.000583404720724935
"Northeast Article 3","change",14,3434,0.0040768782760629,0,0
"Northeast Article 3","from",14,3434,0.0040768782760629,0.0689928714869514,0.000281275538968352
"Northeast Article 3","more",14,3434,0.0040768782760629,0.310154928303839,0.00126446388941577
"Northeast Article 3","no",14,3434,0.0040768782760629,0.310154928303839,0.00126446388941577
"Northeast Article 8","is",14,1018,0.0137524557956778,0,0
"Northeast Article 10","in",13,731,0.0177838577291382,0,0
"Northeast Article 11","that",13,1270,0.0102362204724409,0,0
"Northeast Article 11","tourism",13,1270,0.0102362204724409,2.01490302054226,0.0206249915488578
"Northeast Article 12","for",13,2957,0.00439634764964491,0.0689928714869514,0.000303316648403912
"Northeast Article 13","are",13,1929,0.00673924313115604,0.143100843640673,0.000964391377568042
"Northeast Article 13","with",13,1929,0.00673924313115604,0,0
"Northeast Article 13","world",13,1929,0.00673924313115604,0.310154928303839,0.00209020947016584
"Northeast Article 3","me",13,3434,0.00378567268491555,2.01490302054226,0.00762776332762069
"Northeast Article 6","to",13,421,0.0308788598574822,0,0
"Northeast Article 8","methane",13,1018,0.012770137524558,2.70805020110221,0.0345821734914821
"Northeast Article 1","a",12,700,0.0171428571428571,0,0
"Northeast Article 11","as",12,1270,0.0094488188976378,0.143100843640673,0.0013521339556599
"Northeast Article 12","accord",12,2957,0.00405816706121069,2.01490302054226,0.00817681306949854
"Northeast Article 12","not",12,2957,0.00405816706121069,0.0689928714869514,0.000279984598526688
"Northeast Article 12","states",12,2957,0.00405816706121069,0.310154928303839,0.0012586605139148
"Northeast Article 12","would",12,2957,0.00405816706121069,0.510825623765991,0.00207301572038955
"Northeast Article 13","they",12,1929,0.00622083981337481,0.22314355131421,0.00138814028811328
"Northeast Article 14","90",12,966,0.0124223602484472,2.01490302054226,0.0250298511868604
"Northeast Article 15","for",12,936,0.0128205128205128,0.0689928714869514,0.000884523993422454
"Northeast Article 2","are",12,1015,0.0118226600985222,0.143100843640673,0.00169183263417545
"Northeast Article 2","this",12,1015,0.0118226600985222,0.143100843640673,0.00169183263417545
"Northeast Article 2","we",12,1015,0.0118226600985222,0.143100843640673,0.00169183263417545
"Northeast Article 3","some",12,3434,0.0034944670937682,0.310154928303839,0.0010838261909278
"Northeast Article 3","we",12,3434,0.0034944670937682,0.143100843640673,0.000500061189192801
"Northeast Article 5","global",12,1056,0.0113636363636364,0.310154928303839,0.00352448782163454
"Northeast Article 6","and",12,421,0.0285035629453682,0,0
"Northeast Article 9","and",12,369,0.032520325203252,0,0
"Northeast Article 10","a",11,731,0.0150478796169631,0,0
"Northeast Article 11","their",11,1270,0.00866141732283465,0.405465108108164,0.00351190251117308
"Northeast Article 11","this",11,1270,0.00866141732283465,0.143100843640673,0.00123945612602158
"Northeast Article 12","are",11,2957,0.00371998647277646,0.143100843640673,0.000532333202586204
"Northeast Article 12","at",11,2957,0.00371998647277646,0.143100843640673,0.000532333202586204
"Northeast Article 12","united",11,2957,0.00371998647277646,0.405465108108164,0.00150832471734522
"Northeast Article 13","no",11,1929,0.00570243649559357,0.310154928303839,0.00176863878244802
"Northeast Article 13","on",11,1929,0.00570243649559357,0,0
"Northeast Article 14","89",11,966,0.0113871635610766,2.01490302054226,0.0229440302546221
"Northeast Article 14","change",11,966,0.0113871635610766,0,0
"Northeast Article 3","bahamas",11,3434,0.00320326150262085,2.70805020110221,0.00867459295635536
"Northeast Article 3","he",11,3434,0.00320326150262085,0.628608659422374,0.00201359791894179
"Northeast Article 3","hurricanes",11,3434,0.00320326150262085,2.01490302054226,0.0064542612772175
"Northeast Article 3","loss",11,3434,0.00320326150262085,2.01490302054226,0.0064542612772175
"Northeast Article 3","small",11,3434,0.00320326150262085,1.32175583998232,0.00423392959807965
"Northeast Article 3","so",11,3434,0.00320326150262085,0.405465108108164,0.00129881077145888
"Northeast Article 3","states",11,3434,0.00320326150262085,0.310154928303839,0.000993507341683819
"Northeast Article 3","when",11,3434,0.00320326150262085,0.510825623765991,0.00163630805516188
"Northeast Article 4","to",11,283,0.03886925795053,0,0
"Northeast Article 5","have",11,1056,0.0104166666666667,0.0689928714869514,0.000718675744655744
"Northeast Article 5","world",11,1056,0.0104166666666667,0.310154928303839,0.00323078050316499
"Northeast Article 6","or",11,421,0.0261282660332542,0.143100843640673,0.00373897691222662
"Northeast Article 7","for",11,1230,0.00894308943089431,0.0689928714869514,0.000617009419802005
"Northeast Article 8","farmers",11,1018,0.0108055009823183,2.01490302054226,0.0217720365677455
"Northeast Article 10","for",10,731,0.0136798905608755,0.0689928714869514,0.000943814931422044
"Northeast Article 10","from",10,731,0.0136798905608755,0.0689928714869514,0.000943814931422044
"Northeast Article 10","will",10,731,0.0136798905608755,0.143100843640673,0.00195760388017337
"Northeast Article 11","are",10,1270,0.0078740157480315,0.143100843640673,0.00112677829638325
"Northeast Article 11","at",10,1270,0.0078740157480315,0.143100843640673,0.00112677829638325
"Northeast Article 11","on",10,1270,0.0078740157480315,0,0
"Northeast Article 12","deal",10,2957,0.00338180588434224,2.01490302054226,0.00681401089124878
"Northeast Article 12","his",10,2957,0.00338180588434224,0.916290731874155,0.00309871738882027
"Northeast Article 12","she",10,2957,0.00338180588434224,1.09861228866811,0.00371529350242851
"Northeast Article 12","statement",10,2957,0.00338180588434224,2.01490302054226,0.00681401089124878
"Northeast Article 13","at",10,1929,0.00518403317781234,0.143100843640673,0.000741839521206186
"Northeast Article 13","cost",10,1929,0.00518403317781234,2.01490302054226,0.0104453241085654
"Northeast Article 13","emissions",10,1929,0.00518403317781234,0.22314355131421,0.00115678357342773
"Northeast Article 13","percent",10,1929,0.00518403317781234,1.09861228866811,0.00569524255400783
"Northeast Article 13","president",10,1929,0.00518403317781234,0.916290731874155,0.00475008155455757
"Northeast Article 14","77",10,966,0.010351966873706,2.70805020110221,0.028033645974143
"Northeast Article 14","in",10,966,0.010351966873706,0,0
"Northeast Article 14","its",10,966,0.010351966873706,0.310154928303839,0.00321071354351801
"Northeast Article 15","students",10,936,0.0106837606837607,2.70805020110221,0.028932160268186
"Northeast Article 2","how",10,1015,0.00985221674876847,0.510825623765991,0.0050327647661674
"Northeast Article 2","was",10,1015,0.00985221674876847,0.405465108108164,0.00399473012914448
"Northeast Article 3","be",10,3434,0.0029120559114735,0.0689928714869514,0.000200911099263108
"Northeast Article 3","been",10,3434,0.0029120559114735,0.405465108108164,0.00118073706496262
"Northeast Article 3","has",10,3434,0.0029120559114735,0.143100843640673,0.000416717657660668
"Northeast Article 3","my",10,3434,0.0029120559114735,1.32175583998232,0.00384902690734514
"Northeast Article 3","this",10,3434,0.0029120559114735,0.143100843640673,0.000416717657660668
"Northeast Article 5","as",10,1056,0.00946969696969697,0.143100843640673,0.00135512162538516
"Northeast Article 5","by",10,1056,0.00946969696969697,0,0
"Northeast Article 5","is",10,1056,0.00946969696969697,0,0
"Northeast Article 7","when",10,1230,0.00813008130081301,0.510825623765991,0.00415305385175602
"Northeast Article 7","with",10,1230,0.00813008130081301,0,0
"Northeast Article 8","are",10,1018,0.00982318271119843,0.143100843640673,0.00140570573320897
"Northeast Article 8","as",10,1018,0.00982318271119843,0.143100843640673,0.00140570573320897
"Northeast Article 8","for",10,1018,0.00982318271119843,0.0689928714869514,0.000677729582386556
"Northeast Article 9","a",10,369,0.02710027100271,0,0
"Northeast Article 10","private",9,731,0.012311901504788,2.70805020110221,0.0333412473459916
"Northeast Article 11","by",9,1270,0.00708661417322835,0,0
"Northeast Article 11","developing",9,1270,0.00708661417322835,0.916290731874155,0.00649339888729716
"Northeast Article 11","small",9,1270,0.00708661417322835,1.32175583998232,0.00936677366916604
"Northeast Article 12","an",9,2957,0.00304362529590801,0.0689928714869514,0.000209988448895016
"Northeast Article 12","countries",9,2957,0.00304362529590801,0.762140052046897,0.00231966874143459
"Northeast Article 12","it",9,2957,0.00304362529590801,0.0689928714869514,0.000209988448895016
"Northeast Article 12","pull",9,2957,0.00304362529590801,2.70805020110221,0.00824229009466347
"Northeast Article 12","who",9,2957,0.00304362529590801,0.405465108108164,0.00123408385964609
"Northeast Article 13","even",9,1929,0.0046656298600311,0.405465108108164,0.00189175011559019
"Northeast Article 13","than",9,1929,0.0046656298600311,0.405465108108164,0.00189175011559019
"Northeast Article 14","housing",9,966,0.0093167701863354,2.70805020110221,0.0252302813767287
"Northeast Article 14","is",9,966,0.0093167701863354,0,0
"Northeast Article 14","that",9,966,0.0093167701863354,0,0
"Northeast Article 3","conference",9,3434,0.00262085032032615,1.6094379124341,0.00421809586834796
"Northeast Article 3","could",9,3434,0.00262085032032615,0.510825623765991,0.0013387974996779
"Northeast Article 3","home",9,3434,0.00262085032032615,1.09861228866811,0.00287929836867006
"Northeast Article 3","made",9,3434,0.00262085032032615,0.510825623765991,0.0013387974996779
"Northeast Article 3","than",9,3434,0.00262085032032615,0.405465108108164,0.00106266335846636
