"newspapers","word","n","total","tf","idf","tf_idf"
"The Salt Lake Tribune","s",24,5491,0.00437078856310326,1.09861228866811,0.00480180202659527
"Idaho Falls Post Register","yellowstone",20,3388,0.00590318772136954,1.09861228866811,0.00648531457301127
"Idaho Falls Post Register","idaho",12,3388,0.00354191263282172,1.09861228866811,0.00389118874380676
"The Wyoming Tribune","birds",11,3552,0.00309684684684685,1.09861228866811,0.00340223400206903
"The Salt Lake Tribune","adapting",10,5491,0.00182116190129302,1.09861228866811,0.0020007508444147
"Idaho Falls Post Register","houston",8,3388,0.00236127508854782,1.09861228866811,0.00259412582920451
"Idaho Falls Post Register","pierce",8,3388,0.00236127508854782,1.09861228866811,0.00259412582920451
"Idaho Falls Post Register","legislators",7,3388,0.00206611570247934,1.09861228866811,0.00226986010055395
"Idaho Falls Post Register","foreman",6,3388,0.00177095631641086,1.09861228866811,0.00194559437190338
"Idaho Falls Post Register","wrote",6,3388,0.00177095631641086,1.09861228866811,0.00194559437190338
"The Salt Lake Tribune","document",6,5491,0.00109269714077581,1.09861228866811,0.00120045050664882
"The Salt Lake Tribune","hoerling",6,5491,0.00109269714077581,1.09861228866811,0.00120045050664882
"The Salt Lake Tribune","we're",6,5491,0.00109269714077581,1.09861228866811,0.00120045050664882
"The Salt Lake Tribune","wheeler",6,5491,0.00109269714077581,1.09861228866811,0.00120045050664882
"Idaho Falls Post Register","romme",5,3388,0.00147579693034238,1.09861228866811,0.00162132864325282
"Idaho Falls Post Register","rubel",5,3388,0.00147579693034238,1.09861228866811,0.00162132864325282
"Idaho Falls Post Register","snow",5,3388,0.00147579693034238,1.09861228866811,0.00162132864325282
"The Salt Lake Tribune","call",5,5491,0.000910580950646512,1.09861228866811,0.00100037542220735
"The Salt Lake Tribune","music",5,5491,0.000910580950646512,1.09861228866811,0.00100037542220735
"The Wyoming Tribune","author",5,3552,0.00140765765765766,1.09861228866811,0.00154647000094047
"The Wyoming Tribune","bird",5,3552,0.00140765765765766,1.09861228866811,0.00154647000094047
"Idaho Falls Post Register","area",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","boise",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","committee",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","county",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","ecologists",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","ecosystem",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","falls",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","hard",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","lower",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","primary",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","turner",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"Idaho Falls Post Register","weppner",4,3388,0.00118063754427391,1.09861228866811,0.00129706291460225
"The Salt Lake Tribune","dance",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","days",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","determine",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","electricity",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","extremes",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","graham",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","guidance",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","herring",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","lead",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","office",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","presidential",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","repeatedly",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","rosenfeld",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","story",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","t",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Salt Lake Tribune","transmission",4,5491,0.00072846476051721,1.09861228866811,0.000800300337765879
"The Wyoming Tribune","audubon's",4,3552,0.00112612612612613,1.09861228866811,0.00123717600075238
"The Wyoming Tribune","guterres",4,3552,0.00112612612612613,1.09861228866811,0.00123717600075238
"The Wyoming Tribune","habitat",4,3552,0.00112612612612613,1.09861228866811,0.00123717600075238
"The Wyoming Tribune","magnitude",4,3552,0.00112612612612613,1.09861228866811,0.00123717600075238
"The Wyoming Tribune","northwest",4,3552,0.00112612612612613,1.09861228866811,0.00123717600075238
"The Wyoming Tribune","u.n",4,3552,0.00112612612612613,1.09861228866811,0.00123717600075238
"Idaho Falls Post Register","abatzoglou",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","accept",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","activity",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","animals",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","answer",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","available",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","bark",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","commentary",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","debate",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","either",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","gulf",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","legislature",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","phenomenon",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","raybould",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","religion",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","represents",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","snowpack",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"Idaho Falls Post Register","winter",3,3388,0.000885478158205431,1.09861228866811,0.000972797185951691
"The Salt Lake Tribune","asked",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","bangladesh",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","batteries",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","bulletin",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","came",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","cannot",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","character",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","combat",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","comment",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","cost",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","debris",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","declined",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","detailed",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","don",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","editor",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","elect",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","evidence",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","excess",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","experts",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","facing",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","fox",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","hurricanes",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","infrastructure",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","inglis",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","key",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","kilowatt",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","language",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","line",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","makes",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","members",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","own",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","problems",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","risks",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","romney",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","saying",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","seeing",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","song",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","sought",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","strength",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","supply",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Salt Lake Tribune","technologies",3,5491,0.000546348570387907,1.09861228866811,0.000600225253324409
"The Wyoming Tribune","atmosphere",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","conservation",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","conserve",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","create",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","difference",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","differences",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","governments",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","healthy",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","lands",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","pacific",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","ranches",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","ranching",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","rapid",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","staged",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","wildlife",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"The Wyoming Tribune","wyoming's",3,3552,0.000844594594594595,1.09861228866811,0.000927882000564282
"Idaho Falls Post Register","add",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","agenda",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","agree",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","alter",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","aside",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","beetles",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","bingham",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","burn",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","chairman",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","climatologists",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","concern",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","concluded",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","conspirators",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","construction",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","country's",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","dell",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","describe",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","discussion",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","done",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","doubt",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","dwindling",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","editorial",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","elaborate",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","eliminate",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","elsewhere",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","email",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","eventually",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","frequent",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","hearings",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","idaho's",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","january",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","letters",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","moscow",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","mountains",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","naturally",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","nonsense",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","opinion",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","park",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","percentage",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","period",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","pests",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","reaction",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","received",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","rexburg",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","rockies",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","seminal",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","standards",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","state's",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","stupid",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","taxes",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","teaching",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","theory",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","uncertainty",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","vegetation",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","wing",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","yale",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"Idaho Falls Post Register","zones",2,3388,0.000590318772136954,1.09861228866811,0.000648531457301127
"The Salt Lake Tribune","2011",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","2020",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","acknowledged",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","alarmism",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","attitude",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","attributing",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","australia",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","automobiles",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","battery",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","becomes",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","began",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","blackburn",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","build",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","built",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","bush",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","catastrophes",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","challenged",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","cnn",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","comprehensive",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","congressman",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","continued",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","contribute",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
"The Salt Lake Tribune","contributed",2,5491,0.000364232380258605,1.09861228866811,0.000400150168882939
